#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP,RazzID
399,Yohan Ramirez,PIT,RP,R,56.7,0.0,0.0,245.0,56.7,2.8,2.8,0,6,4.16,4.12,1.34,54.0,22.8,52.9,5.4,26.2,28.4,6,45.7,34.4,19.9,0.305,670990
400,Jackson Rutledge,WSH,RP,R,56.7,0.0,0.0,243.7,56.7,2.6,2.9,0,6,4.53,4.47,1.33,49.8,21.0,54.6,3.3,28.5,30.6,8,39.4,41.0,19.7,0.291,671131
401,Yuki Matsui,SD,RP,L,56.7,0.0,0.0,244.2,56.7,2.8,2.8,0,6,4.25,4.01,1.32,58.2,25.3,49.5,1.7,27.5,29.5,8,36.6,43.1,20.3,0.273,673513
402,Eduarniel Nunez,ATH,RP,R,56.7,0.0,0.0,250.8,56.7,2.7,2.8,0,6,4.74,4.87,1.52,53.7,31.7,54.7,2.9,29.1,31.5,7,44.9,33.7,21.4,0.305,674384
403,Nick Raquet,STL,RP,L,56.7,0.0,0.0,244.7,56.7,2.7,2.9,0,6,4.31,4.43,1.38,43.7,20.4,57.7,2.6,27.5,29.9,7,45.6,33.2,21.2,0.301,675919
404,Brant Hurter,DET,RP,L,56.7,0.0,0.0,240.2,56.7,2.9,2.7,0,7,3.84,3.79,1.26,50.2,17.0,54.6,3.7,24.4,26.7,6,48.2,30.8,21.0,0.300,676428
405,Ben Casparius,LAD,RP,R,56.7,0.0,0.0,242.3,56.7,2.9,2.7,0,17,4.51,4.40,1.33,53.2,20.4,55.0,2.4,28.4,30.3,9,36.8,42.1,21.2,0.291,676508
406,Ron Marinaccio,SD,RP,R,56.7,0.0,0.0,247.4,56.7,2.7,2.9,0,6,4.55,4.38,1.39,52.5,25.8,53.1,3.5,29.4,31.7,7,41.3,38.5,20.2,0.284,676760
407,Zack Kelly,BOS,RP,R,56.7,0.0,0.0,244.4,56.7,2.8,2.7,0,6,4.51,4.30,1.36,55.4,25.3,51.6,2.6,26.9,29.0,7,41.3,39.0,19.7,0.291,677161
408,Jonathan Bowlan,PHI,RP,R,56.7,0.0,0.0,239.0,56.7,2.9,2.7,0,6,4.08,3.90,1.24,52.8,18.2,52.3,2.2,25.2,27.4,7,43.8,36.7,19.5,0.283,680742
409,Braydon Fisher,TOR,RP,R,56.7,0.0,0.0,245.3,56.7,2.8,2.7,0,6,4.23,3.95,1.31,63.2,24.7,49.6,2.4,26.8,28.8,7,38.9,39.9,21.2,0.281,680755
410,Chase Silseth,LAA,RP,R,56.7,0.0,0.0,242.7,56.7,2.7,2.9,0,6,4.37,4.17,1.34,55.4,23.4,52.8,2.5,26.8,29.0,7,44.7,35.3,20.0,0.293,681217
411,Gus Varland,WSH,RP,R,56.7,0.0,0.0,244.5,56.7,2.6,2.9,0,6,4.41,4.22,1.35,50.9,22.6,53.9,2.5,27.8,30.0,7,42.4,37.7,19.8,0.291,681402
412,Grant Anderson,MIL,RP,R,56.7,0.0,0.0,243.0,56.7,2.7,2.8,0,6,4.38,4.21,1.33,55.6,22.4,53.0,2.4,27.7,29.8,8,41.5,38.2,20.2,0.287,681982
413,Zach Maxwell,CIN,RP,R,56.7,0.0,0.0,248.1,56.7,2.7,2.9,0,6,4.81,4.94,1.49,56.0,30.5,54.2,2.1,28.7,30.9,8,41.4,37.2,21.4,0.301,687209
414,Brent Headrick,NYY,RP,L,56.7,0.0,0.0,240.4,56.7,2.9,2.6,0,6,4.09,3.89,1.22,57.6,18.9,50.5,2.6,25.6,27.6,8,38.3,41.5,20.2,0.275,687396
415,Porter Hodge,CHC,RP,R,56.7,0.0,0.0,243.8,56.7,2.8,2.7,0,12,4.07,4.00,1.35,61.8,28.2,48.3,2.3,26.1,28.2,6,41.1,38.9,20.1,0.285,687863
416,Chris Roycroft,STL,RP,R,56.7,0.0,0.0,246.6,56.7,2.7,2.9,0,6,4.35,4.37,1.44,44.9,24.9,56.7,2.4,27.7,30.2,6,49.8,30.4,19.8,0.304,688297
417,Zach Agnos,COL,RP,R,56.7,0.0,0.0,247.2,56.7,2.6,2.9,0,6,5.44,5.35,1.47,43.3,23.3,60.3,2.2,30.3,32.4,9,39.6,39.1,21.3,0.309,688642
418,Beau Brieske,DET,RP,R,56.7,0.0,0.0,244.9,56.7,2.7,2.9,0,14,4.53,4.24,1.32,51.5,23.1,52.0,1.9,28.8,30.9,8,37.1,43.2,19.7,0.276,689225
419,Dylan Dodd,ATL,RP,L,56.7,0.0,0.0,237.9,56.7,2.9,2.6,0,6,4.10,3.84,1.23,48.5,14.5,55.3,2.0,25.8,28.0,7,42.3,37.8,19.9,0.287,689266
420,Matt Pushard,STL,RP,R,56.7,0.0,0.0,244.2,56.7,2.6,2.9,0,6,4.52,4.50,1.36,47.9,21.4,55.7,2.3,28.8,31.0,7,40.9,37.9,21.2,0.295,690155
421,Bailey Horn,DET,RP,L,56.7,0.0,0.0,245.7,56.7,2.7,2.9,0,6,4.41,4.50,1.41,50.2,25.5,54.7,2.1,28.1,30.3,7,42.6,36.1,21.3,0.296,690544
422,Kyle Nicolas,PIT,RP,R,56.7,0.0,0.0,244.4,56.7,2.8,2.8,0,6,4.26,4.01,1.34,56.0,26.1,49.7,2.6,26.7,28.8,6,40.5,39.9,19.6,0.288,693312
423,Will Klein,LAD,RP,R,56.7,0.0,0.0,246.4,56.7,3.0,2.6,0,11,4.18,4.18,1.41,61.1,30.1,49.9,2.6,26.3,28.5,7,43.5,36.8,19.7,0.295,694361
424,Andrew Hoffmann,ARI,RP,R,56.7,0.0,0.0,242.4,56.7,2.8,2.7,0,15,4.33,4.39,1.36,49.2,20.5,56.8,2.4,27.4,29.7,7,43.3,35.5,21.2,0.308,694851
425,Luis Garcia,NYM,RP,R,56.7,0.0,0.0,241.0,56.7,2.9,2.7,0,12,3.94,3.81,1.32,52.3,20.7,54.1,2.5,25.6,27.9,6,48.5,31.9,19.6,0.299,6984
426,Jedixson Paez,CHW,RP,R,56.7,0.0,0.0,244.4,56.7,2.6,3.0,0,6,4.58,4.51,1.39,43.7,20.0,58.9,2.4,28.9,31.2,8,45.8,33.0,21.2,0.298,699151
427,John Klein,MIN,RP,R,56.7,0.0,0.0,241.0,56.7,2.7,2.8,0,6,4.38,4.30,1.32,50.9,19.4,55.3,3.2,27.7,29.8,7,41.0,37.9,21.1,0.295,804619
428,Brandyn Garcia,ARI,RP,L,56.7,0.0,0.0,245.3,56.7,2.9,2.7,0,11,4.07,4.38,1.44,49.9,24.2,57.3,3.5,25.7,28.1,5,49.4,29.3,21.3,0.322,805299
429,Jose Fermin,LAA,RP,R,56.7,0.0,0.0,246.4,56.7,2.6,3.0,0,9,4.72,4.50,1.39,59.0,28.0,50.7,2.2,28.9,30.9,8,37.3,41.4,21.3,0.280,820862
430,Kirby Yates,LAA,RP,R,56.7,0.0,0.0,241.0,56.7,2.8,2.8,10,14,4.21,3.84,1.26,66.5,26.1,45.6,2.3,25.8,27.7,7,36.2,43.7,20.1,0.271,9073
431,Connor Prielipp,MIN,RP,L,43.7,3.2,1.4,240.4,56.5,2.9,2.8,0,4,4.09,4.03,1.33,53.4,21.0,54.1,2.5,25.8,28.0,6,44.7,34.2,21.1,0.301,687570
432,Sawyer Gipson-Long,DET,RP,R,43.7,3.2,1.4,235.6,56.5,2.9,2.9,0,16,4.00,3.68,1.19,52.2,15.0,52.2,2.4,25.4,27.5,7,42.8,37.3,19.9,0.284,687830
433,Chase Petty,CIN,RP,R,43.7,3.2,1.3,244.4,56.5,2.7,3.1,0,4,4.88,5.02,1.48,45.1,22.6,60.9,2.2,29.0,31.4,8,45.8,33.0,21.2,0.313,695534
434,Walker Buehler,SD,SP,R,10.6,10.6,4.4,249.3,56.2,3.2,3.4,0,0,5.08,4.72,1.45,45.3,23.1,58.5,2.9,32.5,34.9,9,42.4,37.8,19.8,0.292,621111
435,Tobias Myers,NYM,RP,R,35.6,3.2,1.4,236.3,55.9,3.1,2.7,0,3,4.22,4.07,1.24,48.9,14.9,54.5,2.2,27.1,29.1,8,38.0,42.1,19.9,0.283,668964
436,Brandon Williamson,CIN,RP,L,35.6,2.6,1.0,234.1,55.1,2.7,2.9,0,3,4.52,4.30,1.28,50.7,18.0,52.7,2.3,26.2,28.1,9,37.6,42.4,20.0,0.280,682227
437,Rhett Lowder,CIN,SP,R,18.4,8.2,3.6,235.7,55.1,2.9,3.2,0,1,4.75,4.64,1.39,44.0,18.2,58.4,2.4,27.5,29.8,8,46.4,32.5,21.0,0.306,695076
438,Drew Thorpe,CHW,SP,R,18.4,8.2,3.3,231.0,54.3,4.1,5.1,0,0,4.83,4.73,1.40,42.2,19.3,56.9,1.7,29.2,31.3,9,41.4,38.4,20.3,0.284,689672
439,Antonio Senzatela,COL,RP,R,35.6,3.2,1.2,232.5,53.9,2.4,3.2,0,3,5.38,5.31,1.49,33.7,16.1,64.0,2.2,28.5,30.7,8,44.4,35.6,20.0,0.329,15488
440,David Bednar,NYY,RP,R,59.9,0.0,0.0,222.2,53.9,3.0,2.3,30,0,3.47,3.15,1.12,65.7,18.3,41.9,2.0,20.7,22.4,6,37.8,42.9,19.3,0.272,670280
441,Mason Barnett,ATH,SP,R,29.2,4.9,1.9,232.0,53.7,2.7,3.0,0,2,4.83,4.84,1.42,45.4,21.5,54.7,2.5,28.2,30.3,8,42.1,36.8,21.1,0.300,686930
442,Martin Perez,ATL,SP,L,10.6,10.6,4.4,233.6,53.0,3.2,2.9,0,0,4.86,4.53,1.43,41.7,19.8,56.1,2.0,28.6,30.8,7,44.1,35.6,20.3,0.299,6902
443,Colin Selby,BAL,RP,R,52.8,0.0,0.0,224.9,52.8,2.8,2.4,0,5,3.97,3.69,1.30,54.5,22.1,46.5,2.1,23.0,25.1,6,46.1,34.3,19.5,0.292,681882
444,Chris Murphy,CHW,RP,L,40.5,0.0,0.0,227.4,52.7,2.5,2.7,0,4,4.22,4.03,1.34,49.1,23.7,47.1,2.7,24.7,26.8,6,44.9,35.0,20.2,0.278,669684
445,Hurston Waldrep,ATL,SP,R,9.8,9.8,4.6,225.7,51.9,3.3,2.6,0,0,4.56,4.23,1.42,45.9,22.9,50.7,2.1,26.3,28.5,6,48.8,31.5,19.7,0.299,694462
446,David Festa,MIN,SP,R,18.4,8.2,3.7,215.8,51.2,2.8,2.8,0,1,4.22,4.00,1.28,51.2,17.7,47.7,2.0,24.1,26.0,7,41.2,37.9,20.8,0.295,701581
447,Sam Moll,CIN,RP,L,56.7,0.0,0.0,219.3,51.0,2.5,2.5,0,6,4.29,4.25,1.36,49.3,22.4,47.2,2.7,23.0,25.0,6,44.5,35.3,20.1,0.292,14874
448,Ryne Stanek,STL,RP,R,56.7,0.0,0.0,218.5,51.0,2.5,2.5,0,10,4.24,4.10,1.30,52.5,22.8,43.4,1.7,24.3,26.0,6,32.7,47.9,19.4,0.277,15947
449,Justin Wilson,FA,RP,L,56.7,0.0,0.0,211.9,51.0,2.7,2.3,0,18,3.65,3.68,1.22,55.9,18.1,44.1,2.0,20.7,22.4,6,39.7,40.6,19.7,0.293,4301
450,Jordan Romano,LAA,RP,R,56.7,0.0,0.0,216.5,51.0,2.4,2.6,5,14,4.38,4.01,1.28,54.0,20.0,45.1,2.3,24.1,25.9,7,37.1,43.3,19.6,0.282,605447
451,Zach Pop,PHI,RP,R,56.7,0.0,0.0,220.7,51.0,2.5,2.5,0,6,4.46,4.23,1.39,39.6,18.9,51.8,2.2,24.8,27.1,6,51.2,29.1,19.7,0.297,647315
452,Alex Lange,KC,RP,R,56.7,0.0,0.0,220.7,51.0,2.6,2.4,0,6,4.18,4.12,1.39,53.8,25.9,44.8,2.6,22.7,24.8,5,46.2,34.0,19.8,0.301,656638
453,Jacob Webb,CHC,RP,R,56.7,0.0,0.0,220.1,51.0,2.4,2.6,0,7,4.56,4.23,1.29,47.8,20.6,45.4,2.2,26.3,28.0,7,34.5,45.4,20.1,0.266,657097
454,Brennan Bernardino,COL,RP,L,56.7,0.0,0.0,219.8,51.0,2.5,2.5,0,6,4.60,4.56,1.41,44.7,22.2,49.5,2.9,23.0,25.1,6,45.1,34.4,20.4,0.308,657514
455,Brendon Little,TOR,RP,L,56.7,0.0,0.0,220.1,51.0,2.7,2.3,0,22,3.59,3.69,1.38,55.0,26.0,44.5,2.0,20.5,22.8,4,53.7,26.2,20.1,0.299,663893
456,Gregory Santos,SF,RP,R,56.7,0.0,0.0,219.4,51.0,2.5,2.5,0,11,3.90,3.69,1.33,48.3,21.3,46.5,2.2,22.6,24.7,4,49.8,30.8,19.4,0.297,666619
457,Yennier Cano,BAL,RP,R,56.7,0.0,0.0,215.9,51.0,2.7,2.3,0,15,3.89,3.76,1.32,48.1,18.9,48.6,2.0,21.7,23.9,5,51.5,28.7,19.8,0.309,666974
458,Lake Bachar,MIA,RP,R,56.7,0.0,0.0,219.9,51.0,2.4,2.6,0,7,4.52,4.36,1.32,48.9,20.5,47.0,1.9,25.4,27.2,7,37.4,41.4,21.2,0.285,669199
459,Ryan Watson,BOS,RP,R,56.7,0.0,0.0,218.7,51.0,2.5,2.5,0,6,4.63,4.62,1.39,42.4,18.8,52.0,1.9,24.8,26.8,6,44.6,34.2,21.2,0.306,670245
460,Carlos Vargas,SEA,RP,R,56.7,0.0,0.0,219.5,51.0,2.5,2.5,0,11,4.18,3.99,1.35,43.0,18.6,50.0,2.5,24.7,26.9,6,49.8,30.9,19.3,0.291,672841
461,Griff McGarry,WSH,RP,R,56.7,0.0,0.0,221.6,51.0,2.4,2.6,0,6,4.29,4.35,1.42,54.2,27.6,44.8,2.3,24.3,26.2,6,42.1,36.5,21.4,0.296,676046
462,Andrew Nardi,MIA,RP,L,56.7,0.0,0.0,214.0,51.0,2.6,2.4,0,6,3.79,3.60,1.21,60.0,21.1,40.5,2.1,21.4,23.0,6,35.9,44.2,19.9,0.278,677053
463,Justin Bruihl,STL,RP,L,56.7,0.0,0.0,220.1,51.0,2.5,2.5,0,15,4.11,4.33,1.39,42.8,19.9,51.2,3.1,23.6,25.8,5,47.6,31.7,20.7,0.312,677865
464,Evan Sisk,PIT,RP,L,56.7,0.0,0.0,218.7,51.0,2.5,2.5,0,6,3.98,4.10,1.40,45.8,21.9,49.3,2.3,22.5,24.6,5,50.1,28.7,21.3,0.314,681895
465,Tim Herrin,CLE,RP,L,56.7,0.0,0.0,219.1,51.0,2.5,2.5,0,16,4.02,3.90,1.34,54.4,24.2,44.1,2.6,22.7,24.7,5,43.9,36.2,19.9,0.288,682120
466,RJ Petit,COL,RP,R,56.7,0.0,0.0,219.8,51.0,2.4,2.6,0,6,5.03,5.00,1.43,41.4,19.8,53.3,2.5,25.2,27.2,7,43.3,35.5,21.2,0.316,696275
467,Keaton Winn,SF,RP,R,34.0,1.6,0.7,208.1,49.6,2.5,2.5,0,3,3.89,3.65,1.23,45.2,14.2,46.8,2.3,21.9,23.9,5,46.6,33.9,19.5,0.296,676775
468,Gunnar Hoglund,ATH,SP,R,22.7,6.5,2.6,208.4,48.7,2.5,2.9,0,2,5.08,4.95,1.39,37.1,15.2,52.3,2.1,26.8,28.7,8,40.9,38.0,21.1,0.298,680684
469,Robert Stephenson,LAA,RP,R,48.6,0.0,0.0,204.1,48.6,2.4,2.4,7,12,4.22,3.69,1.18,53.5,16.9,40.5,1.7,22.2,23.7,7,33.2,47.3,19.5,0.264,13594
470,Jose Leclerc,FA,RP,R,48.6,0.0,0.0,207.5,48.6,2.4,2.4,0,5,4.28,4.08,1.29,52.1,21.0,41.5,2.0,23.1,24.7,7,33.4,46.8,19.8,0.276,14524
471,Kendall Graveman,FA,RP,R,48.6,0.0,0.0,213.3,48.6,2.3,2.5,0,5,4.61,4.42,1.43,42.8,22.6,47.2,2.2,24.9,26.9,6,44.7,35.4,19.9,0.294,15514
472,Drew Smith,WSH,RP,R,48.6,0.0,0.0,208.6,48.6,2.2,2.5,0,5,4.59,4.36,1.31,47.0,20.2,43.4,2.1,24.7,26.4,7,32.7,47.4,20.0,0.272,622098
473,Josh Sborz,TEX,RP,R,48.6,0.0,0.0,207.6,48.6,2.4,2.3,0,5,4.24,3.94,1.29,50.3,19.4,43.2,1.7,22.7,24.5,6,40.0,40.2,19.8,0.282,622250
474,Jonathan Loaisiga,ARI,RP,R,48.6,0.0,0.0,205.8,48.6,2.5,2.2,0,11,3.88,3.82,1.31,42.3,16.3,47.4,2.0,21.0,23.1,4,50.1,30.4,19.5,0.308,642528
475,Michael Kopech,FA,RP,R,48.6,0.0,0.0,210.6,48.6,2.3,2.4,0,21,4.54,4.19,1.36,53.6,26.2,39.7,2.3,24.5,26.2,6,35.6,44.5,20.0,0.272,656629
476,Tristan Beck,SF,RP,R,40.5,0.0,0.0,207.3,48.6,2.3,2.4,0,4,4.32,3.91,1.24,42.1,15.3,44.9,1.9,23.8,25.6,6,38.5,41.8,19.7,0.275,663941
477,Joey Lucchesi,FA,RP,L,48.6,0.0,0.0,209.0,48.6,2.4,2.4,0,8,4.30,4.23,1.38,36.8,17.6,49.4,1.8,23.2,25.3,5,48.0,31.5,20.5,0.298,664192
478,Reiver Sanmartin,SF,RP,L,48.6,0.0,0.0,210.2,48.6,2.3,2.4,0,5,4.18,4.15,1.40,35.3,17.0,51.1,2.0,23.0,25.2,5,51.2,28.1,20.7,0.308,665665
479,John King,MIA,RP,L,48.6,0.0,0.0,208.4,48.6,2.3,2.4,0,5,4.15,4.07,1.40,32.7,15.1,52.7,1.5,22.3,24.6,4,55.3,24.6,20.1,0.313,667463
480,Eli Morgan,KC,RP,R,48.6,0.0,0.0,210.0,48.6,2.3,2.5,0,5,5.10,4.73,1.35,40.8,18.1,47.6,1.7,26.4,28.1,8,34.2,45.6,20.2,0.281,669212
481,Colin Holderman,CLE,RP,R,48.6,0.0,0.0,208.3,48.6,2.3,2.4,0,5,4.28,4.15,1.35,47.7,20.4,45.3,2.5,22.9,24.8,6,43.8,36.5,19.7,0.296,670059
482,Steven Cruz,KC,RP,R,48.6,0.0,0.0,208.4,48.6,2.4,2.4,0,10,4.50,4.20,1.33,45.6,21.0,43.6,2.1,23.3,25.1,6,40.8,39.7,19.6,0.281,674444
483,Colton Gordon,HOU,RP,L,48.6,0.0,0.0,202.9,48.6,2.5,2.3,0,5,4.17,4.17,1.23,44.9,12.0,48.0,1.9,22.3,23.9,7,38.6,40.4,21.0,0.293,676467
484,Max Lazar,PHI,RP,R,48.6,0.0,0.0,208.5,48.6,2.3,2.4,0,5,4.71,4.57,1.37,37.9,16.5,49.9,1.7,25.0,26.9,7,43.6,35.3,21.2,0.293,676661
485,Daysbel Hernandez,ATL,RP,R,48.6,0.0,0.0,212.6,48.6,2.4,2.3,0,13,4.39,4.06,1.38,53.0,25.7,41.4,2.3,23.7,25.5,6,39.7,40.7,19.6,0.282,678226
486,Luinder Avila,KC,RP,R,48.6,0.0,0.0,207.1,48.6,2.5,2.3,0,5,4.26,4.26,1.36,44.1,19.4,46.7,2.3,22.0,24.0,5,47.5,31.3,21.2,0.305,679883
487,Ethan Roberts,CHC,RP,R,48.6,0.0,0.0,210.6,48.6,2.3,2.4,0,5,4.52,4.34,1.35,45.9,20.0,45.3,2.4,24.8,26.6,7,37.6,42.6,19.8,0.284,681799
488,Austin Warren,NYM,RP,R,48.6,0.0,0.0,208.8,48.6,2.4,2.4,0,5,4.26,4.02,1.29,43.9,17.4,45.5,2.1,23.7,25.6,6,41.1,38.9,20.0,0.280,681810
489,Dylan Smith,DET,RP,R,48.6,0.0,0.0,210.0,48.6,2.3,2.5,0,5,4.38,4.30,1.38,41.9,20.2,46.9,2.0,23.9,25.9,6,45.1,33.7,21.2,0.294,681916
490,Yaramil Hiraldo,BAL,RP,R,48.6,0.0,0.0,204.6,48.6,2.5,2.3,0,10,4.16,4.06,1.26,49.6,17.8,43.5,1.7,22.2,23.8,7,38.0,40.9,21.1,0.286,682274
491,Roddery Munoz,HOU,RP,R,48.6,0.0,0.0,211.2,48.6,2.3,2.4,0,7,4.71,4.42,1.37,48.4,21.8,44.7,2.2,25.2,27.0,7,39.1,41.1,19.7,0.279,682610
492,Luis Mey,CIN,RP,R,48.6,0.0,0.0,215.8,48.6,2.3,2.5,0,10,4.95,5.07,1.59,43.5,28.4,48.8,2.4,25.3,27.4,6,48.5,30.0,21.5,0.310,682825
493,Brandan Bidois,PIT,RP,R,48.6,0.0,0.0,213.8,48.6,2.2,2.5,0,5,4.87,4.72,1.46,43.3,24.0,46.8,2.0,26.3,28.1,6,39.2,39.4,21.4,0.297,684049
494,Cade Winquest,NYY,RP,R,48.6,0.0,0.0,210.6,48.6,2.4,2.4,0,5,4.49,4.50,1.39,40.1,18.3,49.3,2.5,24.1,26.1,6,46.7,32.1,21.2,0.298,685464
495,Ty Adcock,SD,RP,R,48.6,0.0,0.0,208.3,48.6,2.3,2.4,0,5,4.44,4.11,1.31,44.9,18.5,45.4,1.8,24.6,26.4,7,39.7,40.7,19.7,0.278,686654
496,Kevin Kelly,TB,RP,R,48.6,0.0,0.0,205.4,48.6,2.3,2.4,0,10,4.12,3.79,1.24,43.1,13.0,47.5,2.5,22.3,24.3,6,46.9,32.8,20.3,0.291,687330
497,Paxton Schultz,WSH,RP,R,48.6,0.0,0.0,208.1,48.6,2.2,2.5,0,5,4.54,4.54,1.34,43.9,18.0,47.2,1.7,24.5,26.3,7,37.6,41.3,21.2,0.291,687606
498,Josh White,MIA,RP,R,48.6,0.0,0.0,207.8,48.6,2.3,2.4,0,5,4.18,4.13,1.33,48.8,20.3,44.2,2.0,22.5,24.2,6,41.6,37.2,21.2,0.296,687985
499,Peyton Pallette,CLE,RP,R,48.6,0.0,0.0,211.6,48.6,2.2,2.5,0,5,4.69,4.68,1.40,45.7,20.9,47.0,2.5,25.2,27.0,7,39.0,39.7,21.3,0.293,688883
500,Mason Fluharty,TOR,RP,L,48.6,0.0,0.0,209.4,48.6,2.4,2.3,0,5,4.15,4.09,1.32,50.5,20.6,43.7,2.1,22.6,24.4,6,40.1,38.7,21.2,0.282,689254
501,Carter Baumler,TEX,RP,R,48.6,0.0,0.0,213.1,48.6,2.3,2.5,0,5,4.86,4.75,1.46,41.9,21.8,49.1,2.0,26.1,28.0,7,42.1,36.6,21.3,0.297,691945
502,Dylan Ross,NYM,RP,R,48.6,0.0,0.0,209.3,48.6,2.5,2.3,0,5,4.02,4.03,1.39,50.9,23.6,43.8,1.9,22.4,24.3,5,44.8,33.9,21.3,0.296,697811
503,Yilber Diaz,ARI,RP,R,48.6,0.0,0.0,213.4,48.6,2.3,2.4,5,12,4.62,4.64,1.48,47.7,26.1,45.9,1.9,25.0,26.9,6,40.7,37.9,21.4,0.305,700270
504,Andre Granillo,WSH,RP,R,48.6,0.0,0.0,210.6,48.6,2.2,2.6,0,5,4.73,4.71,1.40,44.9,22.1,46.0,1.8,25.5,27.2,7,36.3,42.4,21.3,0.288,701552
505,Jesse Scholtens,TB,RP,R,42.1,1.6,0.7,202.3,48.5,2.4,2.5,0,4,4.33,4.18,1.29,43.4,14.0,48.4,1.6,23.4,25.2,7,40.5,39.5,20.0,0.283,669947
506,A.J. Minter,NYM,RP,L,52.8,0.0,0.0,197.6,47.5,2.6,2.1,0,29,3.50,3.25,1.15,54.4,17.1,37.6,1.7,19.0,20.6,5,37.8,42.5,19.7,0.268,621345
507,Sam Aldegheri,LAA,SP,L,22.7,6.5,2.3,201.3,46.8,4.2,6.1,0,0,5.32,5.76,1.58,34.6,20.7,53.4,2.6,26.9,28.8,8,39.1,39.7,21.2,0.301,691951
508,Josh Hader,HOU,RP,L,46.2,0.0,0.0,189.7,46.2,2.6,2.0,20,0,3.48,3.01,1.06,64.1,17.8,31.2,1.8,17.7,18.9,6,29.5,51.1,19.5,0.244,14212
509,Jason Adam,SD,RP,R,46.2,0.0,0.0,194.6,46.2,2.4,2.2,0,18,3.83,3.52,1.20,50.7,17.2,38.2,2.6,20.2,21.8,5,40.5,39.8,19.7,0.273,592094
510,Tyler Gilbert,CHW,RP,L,46.2,0.0,0.0,197.2,46.2,2.2,2.4,0,9,4.35,4.16,1.30,40.8,16.5,43.7,1.9,22.4,24.1,7,39.4,40.0,20.6,0.280,656457
511,Juan Morillo,ARI,RP,R,46.2,0.0,0.0,201.7,46.2,2.3,2.3,0,6,4.42,4.67,1.52,40.0,22.7,47.7,2.0,22.8,24.8,5,48.6,30.0,21.4,0.326,666661
512,Mitchell Parker,WSH,SP,L,16.3,6.1,2.6,193.9,45.0,2.2,2.8,0,1,4.79,4.59,1.36,34.5,14.7,46.5,1.3,23.9,25.6,7,38.4,41.5,20.1,0.291,680730
513,Blade Tidwell,SF,RP,R,25.9,1.6,0.6,189.9,44.5,2.2,2.3,0,2,4.31,4.32,1.32,40.6,15.9,42.9,1.9,21.8,23.4,6,40.1,38.8,21.1,0.297,694918
514,Rafael Montero,NYY,RP,R,48.6,0.0,0.0,189.9,43.7,2.1,2.1,0,7,4.52,4.13,1.37,42.7,20.9,38.9,1.7,21.8,23.5,6,42.7,37.4,19.9,0.274,12760
515,Andrew Chafin,MIN,RP,L,48.6,0.0,0.0,189.4,43.7,2.2,2.1,0,5,4.05,4.00,1.38,46.7,21.1,39.3,1.6,19.7,21.4,5,41.6,37.9,20.4,0.299,12988
516,Danny Coulombe,FA,RP,L,48.6,0.0,0.0,185.7,43.7,2.2,2.1,0,8,3.99,3.75,1.25,43.3,16.0,38.7,1.5,19.4,21.0,5,40.9,38.8,20.3,0.280,13293
517,Tim Mayza,PHI,RP,L,48.6,0.0,0.0,187.5,43.7,2.2,2.1,0,5,4.27,4.22,1.38,35.4,15.9,44.5,1.6,20.4,22.3,5,49.8,29.9,20.2,0.302,641835
518,Jack Dreyer,LAD,RP,L,48.6,0.0,0.0,186.1,43.7,2.3,2.0,0,10,4.15,4.12,1.31,42.4,16.8,40.3,1.4,20.1,21.7,6,39.6,39.2,21.2,0.283,676263
519,Zach McCambley,PHI,RP,R,48.6,0.0,0.0,189.4,43.7,2.1,2.2,0,5,4.58,4.60,1.42,39.9,20.0,42.3,2.0,21.8,23.5,6,44.1,34.6,21.3,0.298,685112
520,Hunter Bigge,TB,RP,R,48.6,0.0,0.0,188.1,43.7,2.0,2.2,0,5,4.46,4.23,1.34,45.0,18.7,40.0,1.7,21.7,23.3,6,38.9,39.9,21.2,0.283,685801
521,Juan Burgos,ARI,RP,R,48.6,0.0,0.0,191.0,43.7,2.1,2.2,0,11,4.71,4.76,1.46,35.4,18.3,45.7,2.1,23.0,24.7,5,43.5,35.2,21.3,0.313,686228
522,Orlando Ribalta,WSH,RP,R,48.6,0.0,0.0,192.1,43.7,1.9,2.4,0,5,4.91,5.03,1.47,39.0,21.6,42.8,1.8,23.9,25.5,6,37.6,41.0,21.4,0.295,687377
523,AJ Blubaugh,HOU,RP,R,34.0,1.6,0.6,186.0,43.6,2.2,2.2,0,3,4.57,4.39,1.33,41.0,16.9,40.9,1.5,21.9,23.5,7,39.1,39.7,21.1,0.280,805123
524,Thomas White,MIA,SP,L,8.6,8.6,3.9,186.3,43.0,2.2,2.6,0,0,4.48,4.55,1.42,40.8,20.7,40.4,2.1,21.2,23.0,5,42.9,36.2,20.8,0.298,806258
525,Victor Mederos,LAA,RP,R,32.4,0.0,0.0,183.0,42.1,1.9,2.2,0,3,4.90,4.76,1.40,33.2,16.0,43.0,2.9,22.3,24.0,6,43.3,37.0,19.7,0.292,682989
526,Joey Estes,ATH,RP,R,32.4,0.0,0.0,178.2,42.1,2.0,2.1,0,3,4.89,4.55,1.22,34.3,9.9,41.5,2.3,22.3,23.6,8,31.0,49.2,19.9,0.270,683155
