#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP,RazzID
199,Lucas Giolito,FA,SP,R,25.9,9.7,4.3,292.5,68.6,6.4,6.4,0,0,4.77,4.52,1.35,62.4,25.2,67.4,2.2,36.3,38.8,11,36.7,43.3,20.0,0.279,15474
200,Tyler Alexander,TEX,RP,L,61.5,1.6,0.6,291.2,68.1,3.3,3.5,0,6,4.71,4.59,1.32,55.8,18.6,71.4,2.4,35.5,37.8,11,35.1,44.4,20.5,0.293,641302
201,JP Sears,SD,SP,L,23.8,10.6,4.4,286.9,67.3,3.7,3.9,0,1,4.72,4.49,1.26,58.6,18.7,66.4,3.6,36.2,38.4,12,32.1,47.8,20.1,0.277,676664
202,Jared Jones,PIT,SP,R,13.1,13.1,6.4,280.0,66.8,3.8,3.6,0,0,4.04,3.67,1.19,69.0,22.4,57.1,2.8,29.9,32.2,8,38.4,42.4,19.2,0.281,683003
203,Patrick Corbin,FA,SP,L,25.9,9.7,4.3,282.1,66.6,6.4,6.2,0,0,4.61,4.66,1.40,54.0,20.0,72.9,2.0,34.2,36.8,10,43.5,36.3,20.2,0.306,9323
204,Patrick Sandoval,BOS,SP,L,23.8,10.6,5.1,280.5,66.2,3.6,3.5,0,1,4.15,4.15,1.33,61.6,25.8,62.4,2.4,28.8,31.5,7,45.2,35.0,19.8,0.303,663776
205,Ryan Weiss,HOU,SP,R,23.8,10.6,4.5,286.4,66.2,3.7,3.7,0,1,4.67,4.41,1.39,61.0,25.8,66.3,3.5,34.0,36.7,9,45.3,33.7,21.0,0.301,680802
206,Cody Bradford,TEX,SP,L,33.0,6.6,2.9,277.0,66.0,3.6,3.5,0,3,4.44,4.09,1.21,59.6,16.4,63.5,2.2,32.3,34.5,11,35.2,44.6,20.2,0.276,674003
207,Kutter Crawford,BOS,SP,R,45.4,4.9,2.2,274.1,66.0,3.5,3.4,0,4,4.39,3.92,1.14,66.2,17.8,57.6,2.7,30.4,32.4,10,31.9,48.3,19.8,0.269,676710
208,Max Scherzer,FA,SP,R,13.1,13.1,5.7,277.3,65.5,3.6,3.8,0,0,4.67,4.32,1.22,63.0,18.8,61.1,2.6,34.0,36.1,11,30.4,49.8,19.8,0.273,3137
209,Jonathan Cannon,CHW,SP,R,20.4,10.2,4.1,284.0,65.3,3.1,4.2,0,1,5.01,4.81,1.41,49.1,23.0,68.8,2.9,36.4,39.0,11,40.8,39.3,19.9,0.291,686563
210,Kyle Harrison,MIL,RP,L,43.7,3.2,1.5,272.0,65.2,3.4,3.2,0,8,4.00,3.83,1.23,72.4,23.2,57.2,2.9,29.0,31.2,9,37.4,42.7,19.9,0.283,690986
211,Joey Wentz,ATL,SP,L,45.4,4.9,2.0,279.2,65.0,3.5,3.3,0,4,4.56,4.35,1.37,62.9,25.8,63.5,2.1,32.9,35.3,9,38.3,41.7,20.0,0.302,666214
212,Ryan Gusto,MIA,RP,R,45.4,4.9,2.0,275.9,65.0,3.1,3.7,0,4,4.61,4.58,1.34,55.2,20.7,66.1,2.7,33.1,35.4,9,39.1,39.9,21.0,0.302,687473
213,Jason Alexander,HOU,SP,R,38.9,6.5,2.8,277.5,64.9,3.5,3.4,0,3,4.49,4.34,1.35,51.0,19.9,67.7,2.9,32.0,34.8,9,48.5,31.3,20.2,0.300,669920
214,Yimi Garcia,TOR,RP,R,64.8,0.0,0.0,270.8,64.8,3.4,2.9,0,17,3.77,3.34,1.15,74.3,22.8,51.6,3.0,27.4,29.6,8,38.4,42.1,19.5,0.265,12095
215,Blake Treinen,LAD,RP,R,64.8,0.0,0.0,272.6,64.8,3.5,2.8,0,20,3.88,3.58,1.24,71.5,24.0,56.4,2.7,27.8,30.2,8,42.3,37.8,19.8,0.290,12572
216,Andrew Kittredge,BAL,RP,R,64.8,0.0,0.0,270.8,64.8,3.4,3.0,0,19,4.01,3.49,1.20,64.1,18.9,58.7,2.0,28.6,31.0,8,43.7,36.6,19.7,0.284,12828
217,Shawn Armstrong,CLE,RP,R,64.8,0.0,0.0,273.5,64.8,3.2,3.2,3,16,4.17,3.71,1.20,65.6,20.8,56.8,3.1,29.8,32.0,8,37.2,43.0,19.8,0.272,12857
