#,Name,Team,Bats,ESPN,YAHOO,G,PA,AB,R,HR,RBI,SB,H,1B,2B,3B,TB,SO,BB,HBP,SF,SH,CS,AVG,OBP,SLG,OPS,BABIP,RazzID
335,Adrian Del Castillo,ARI,L,DH,C,65,211,188,22.5,5.8,22.3,0.9,43.5,28.2,8.9,0.6,71.2,58.4,18.4,1.7,1.5,0.6,0.3,0.231,0.303,0.377,0.680,0.300,680728
336,Everson Pereira,CHW,R,OF,OF,65,207,185,22.4,7.3,22.3,3.3,39.6,23.8,8.0,0.5,70.4,66.7,16.4,2.4,1.5,0.7,1.0,0.213,0.283,0.379,0.662,0.286,677592
337,Luke Raley,SEA,L,1B/OF,1B/OF,63,206,183,22.7,7.0,22.9,2.9,39.7,22.9,9.4,0.4,70.9,63.1,15.2,6.6,1.5,0.5,0.9,0.217,0.298,0.388,0.686,0.287,670042
338,Will Benson,CIN,L,OF,OF,65,205,180,24.5,7.1,22.9,5.1,39.3,21.9,9.1,1.1,72.0,63.3,21.9,1.4,1.5,0.8,1.5,0.218,0.305,0.401,0.706,0.290,666181
339,Coby Mayo,BAL,R,1B,1B/3B,65,205,181,24.1,7.3,24.1,2.1,40.7,24.7,8.0,0.7,72.0,56.1,18.7,2.2,1.5,0.9,0.5,0.225,0.301,0.398,0.699,0.280,691723
340,Jose Fermin,STL,R,2B,2B/OF,65,204,175,23.2,3.6,19.0,6.9,42.2,28.3,9.9,0.4,63.6,26.7,23.4,3.4,1.5,0.7,2.2,0.241,0.338,0.365,0.703,0.265,665877
341,Jorge Barrosa,ARI,S,OF,OF,65,204,182,20.9,2.9,17.8,3.3,41.3,29.2,8.5,0.8,59.9,47.2,17.8,1.5,1.5,0.7,1.1,0.227,0.298,0.329,0.627,0.288,678489
342,Dalton Rushing,LAD,L,C,C,65,202,176,25.4,6.8,23.5,1.1,39.2,23.6,8.3,0.4,68.8,55.6,20.6,3.1,1.5,0.8,0.3,0.222,0.311,0.391,0.702,0.281,687221
343,Colby Thomas,ATH,R,OF,OF,65,202,186,24.2,7.1,25.0,2.8,43.4,24.4,11.3,0.6,77.2,60.8,11.6,2.9,1.4,0.5,0.9,0.234,0.286,0.416,0.702,0.304,687515
344,Luis Torrens,NYM,R,C,C,64,199,182,22.4,5.2,21.3,1.4,42.3,28.6,7.9,0.6,67.1,44.6,13.3,2.1,1.5,0.7,0.4,0.232,0.290,0.368,0.658,0.278,620443
345,Alex Call,LAD,R,OF,OF,64,199,171,25.5,4.7,21.2,2.7,40.0,25.3,9.3,0.6,64.7,38.6,23.5,2.6,1.4,0.7,0.9,0.234,0.331,0.379,0.710,0.273,669743
346,Jose Tena,WSH,L,3B,2B/3B,65,199,181,20.7,3.5,18.6,5.7,43.8,29.6,9.9,0.8,65.7,49.6,14.1,1.4,1.5,0.7,1.9,0.242,0.298,0.364,0.662,0.312,677588
347,Drew Gilbert,SF,L,OF,OF,65,199,177,22.4,4.9,19.8,2.6,39.8,25.8,8.1,1.0,64.6,40.6,16.7,2.8,1.5,0.8,0.8,0.225,0.298,0.365,0.663,0.262,687551
348,Yohel Pozo,STL,R,C,C,65,198,188,22.4,5.6,22.8,1.2,48.6,31.8,10.9,0.4,77.1,25.8,6.8,1.2,1.5,0.7,0.4,0.259,0.286,0.411,0.697,0.273,650968
349,Luis Matos,SF,R,OF,OF,65,197,181,23.4,6.1,22.2,3.4,44.2,29.8,7.7,0.6,71.5,27.4,12.2,2.0,1.4,0.7,0.9,0.245,0.297,0.396,0.693,0.257,682641
350,Sung-Mun Song,SD,L,3B,3B,65,194,177,21.6,3.9,19.6,4.2,43.1,30.4,8.2,0.6,64.4,30.9,14.1,1.0,1.4,0.7,1.0,0.244,0.300,0.364,0.664,0.273,823550
351,Jose Trevino,CIN,R,C,C,64,193,178,22.3,5.2,21.3,1.1,44.1,28.4,10.2,0.2,70.4,29.7,11.4,1.5,1.4,0.8,0.3,0.248,0.296,0.396,0.692,0.269,624431
352,Jake Rogers,DET,R,C,C,63,193,173,20.9,5.8,20.0,1.2,35.8,22.0,7.1,0.8,62.1,55.3,15.5,1.7,1.4,0.8,0.3,0.206,0.275,0.358,0.633,0.264,668670
353,Hunter Feduccia,TB,L,C,C,65,191,166,20.0,3.1,15.9,1.0,34.5,23.4,7.0,0.9,52.7,52.1,21.9,1.1,1.4,0.7,0.3,0.208,0.301,0.318,0.619,0.280,676439
354,Jorge Mateo,ATL,R,2B/SS/ OF,2B/SS/ OF,62,189,175,19.4,3.7,18.4,13.4,38.8,26.1,8.3,0.7,59.7,47.8,10.7,1.3,1.4,0.7,3.1,0.222,0.269,0.341,0.610,0.282,17273
355,Sam Haggerty,TEX,S,OF,2B/OF,61,188,168,21.3,3.1,18.2,8.9,41.3,28.8,7.8,1.6,61.5,41.2,15.7,1.9,1.3,0.8,1.9,0.246,0.314,0.366,0.680,0.306,664059
356,Vaughn Grissom,LAA,R,2B,2B,63,188,169,20.4,3.7,18.0,2.7,41.0,28.8,8.2,0.4,61.0,37.9,14.9,2.2,1.4,0.6,0.8,0.243,0.309,0.361,0.670,0.290,687093
357,Deyvison De Los Santos,MIA,R,1B,1B/3B,52,187,173,18.6,5.8,20.4,2.7,39.9,27.0,6.6,0.5,65.1,46.2,10.4,1.6,1.4,0.7,0.8,0.231,0.278,0.377,0.654,0.279,691277
358,Nathaniel Lowe,CIN,L,1B,1B,57,185,162,21.3,5.9,21.2,0.5,39.1,25.0,7.6,0.6,65.7,44.8,20.7,1.3,1.3,0.3,0.1,0.242,0.331,0.406,0.736,0.296,663993
359,Jhostynxon Garcia,PIT,R,OF,OF,58,184,168,19.6,4.9,19.1,1.9,38.4,25.4,7.1,0.9,62.2,49.3,12.2,1.9,1.3,0.6,0.6,0.229,0.285,0.370,0.655,0.291,691373
360,Abimelec Ortiz,WSH,L,1B,1B,58,184,164,20.8,6.1,20.2,1.2,37.0,22.5,7.7,0.6,64.3,45.6,15.4,1.8,1.3,0.6,0.4,0.225,0.294,0.391,0.685,0.270,694673
361,Zach Dezenzo,HOU,R,OF,1B/OF,56,184,166,20.6,5.4,20.0,2.1,38.6,24.7,8.0,0.4,63.6,54.0,14.2,1.6,1.3,0.6,0.6,0.232,0.295,0.382,0.678,0.306,701305
362,Jett Williams,MIL,R,SS,SS,51,183,160,18.9,3.4,16.2,5.4,34.3,22.2,7.6,1.0,54.3,48.1,18.6,1.8,1.3,0.6,1.6,0.214,0.299,0.338,0.637,0.280,702518
363,Angel Martinez,CLE,S,2B/OF,2B/OF,57,182,167,19.3,4.2,18.1,3.0,39.0,24.3,9.9,0.6,62.6,37.8,11.5,1.8,1.3,0.7,1.0,0.234,0.287,0.376,0.663,0.276,682657
364,Jarred Kelenic,CHW,L,OF,OF,58,181,164,19.5,5.5,18.8,3.6,35.3,21.5,7.6,0.7,60.6,53.3,13.7,0.9,1.3,0.8,1.2,0.215,0.276,0.370,0.645,0.279,672284
365,Eric Wagaman,MIN,R,1B/OF,1B/3B/ OF,58,181,167,19.6,4.3,19.5,1.7,41.4,26.6,9.8,0.8,65.7,36.9,11.9,1.1,1.3,0.4,0.6,0.248,0.300,0.393,0.693,0.292,676572
366,Kyle Karros,COL,R,3B,3B,52,181,161,19.3,3.4,18.0,1.5,42.1,30.5,7.4,0.8,61.5,41.3,15.9,2.0,1.3,0.6,0.5,0.262,0.331,0.381,0.713,0.329,691720
367,David Fry,CLE,R,DH,DH,55,180,160,19.1,5.5,19.3,1.5,35.1,21.1,8.1,0.4,60.5,48.4,14.8,2.9,1.3,0.4,0.5,0.219,0.294,0.377,0.671,0.274,681807
368,Braxton Fulford,COL,R,C,C,58,180,161,20.3,4.9,19.1,2.2,38.3,25.6,6.5,1.2,62.0,48.9,13.3,3.2,1.3,0.7,0.7,0.237,0.304,0.385,0.689,0.306,690924
369,Tim Tawa,ARI,R,1B/2B/ OF,1B/2B/ OF,58,179,161,19.7,5.0,18.5,3.8,36.2,24.3,6.3,0.6,58.7,45.2,14.4,1.7,1.3,0.7,1.2,0.224,0.291,0.364,0.655,0.277,694374
370,Gary Sanchez,MIL,R,C,C,55,177,157,19.5,7.4,20.9,0.6,33.7,20.5,5.5,0.5,62.2,48.4,14.3,3.3,1.3,0.5,0.2,0.214,0.291,0.395,0.686,0.257,11442
371,Travis d’Arnaud,LAA,R,C,C,57,176,161,17.5,5.5,18.5,0.7,34.1,21.0,7.4,0.2,58.6,50.5,11.0,2.3,1.3,0.5,0.2,0.212,0.269,0.364,0.633,0.269,7739
372,Travis Bazzana,CLE,L,2B,2B,52,176,153,18.3,3.3,15.4,2.7,32.2,20.3,7.7,0.9,51.5,49.6,19.2,1.9,1.3,0.6,0.8,0.210,0.304,0.337,0.641,0.285,683953
373,Darell Hernaiz,ATH,R,SS/3B,2B/SS/ 3B,57,176,159,19.7,2.4,17.7,3.1,41.3,29.1,9.2,0.7,59.0,25.5,14.0,1.2,1.3,0.6,1.0,0.260,0.321,0.371,0.692,0.293,687231
374,James McCann,ARI,R,C,C,57,175,162,18.8,4.6,18.2,1.2,38.1,26.6,6.5,0.3,59.1,44.8,9.6,2.2,1.3,0.7,0.3,0.235,0.285,0.366,0.651,0.295,12859
375,James Outman,MIN,L,OF,OF,58,175,154,19.9,5.5,18.3,3.5,32.1,18.8,7.0,0.8,57.1,59.5,17.8,2.5,1.3,0.6,0.9,0.209,0.299,0.371,0.670,0.295,681546
376,Javier Sanoja,MIA,R,2B/3B/ OF,2B/SS/ 3B/OF,58,175,161,19.0,2.8,16.9,4.5,41.5,28.5,8.9,1.3,61.4,19.1,11.0,1.2,1.3,0.7,1.5,0.257,0.307,0.381,0.688,0.276,691594
377,Brett Harris,ATH,R,3B,3B,58,173,153,20.4,4.0,17.7,2.3,34.8,23.0,7.5,0.4,55.0,37.9,16.0,2.5,1.3,0.7,0.7,0.228,0.308,0.360,0.668,0.275,695391
378,Nolan Jones,CLE,L,OF,OF,56,172,150,18.3,4.1,16.9,3.6,33.7,20.5,8.4,0.7,55.8,51.5,18.7,1.7,1.3,0.5,1.1,0.225,0.314,0.373,0.687,0.310,666134
379,Blaine Crim,COL,R,1B,1B,58,172,154,20.5,5.4,19.4,1.1,37.8,25.5,6.4,0.5,61.4,39.2,14.8,1.9,1.2,0.4,0.3,0.246,0.316,0.399,0.716,0.293,688760
380,Rob Refsnyder,SEA,R,OF,OF,56,171,150,19.9,5.1,18.2,1.9,35.0,22.0,7.5,0.3,58.4,47.1,17.7,2.1,1.2,0.4,0.6,0.233,0.320,0.389,0.709,0.302,13770
381,Edmundo Sosa,PHI,R,2B/3B,2B/SS/ 3B/OF,57,171,160,18.9,4.6,19.0,1.9,39.2,25.5,8.2,0.9,62.8,38.8,7.2,2.7,1.2,0.6,0.6,0.245,0.287,0.394,0.680,0.295,624641
382,Rafael Marchan,PHI,S,C,C,57,170,152,18.8,3.4,16.3,1.4,34.8,24.1,6.8,0.5,53.0,30.2,15.0,2.1,1.3,0.7,0.4,0.230,0.305,0.349,0.654,0.264,665561
383,Dane Myers,CIN,R,OF,OF,56,168,152,18.7,4.2,17.2,6.1,37.0,24.8,7.7,0.3,57.9,42.8,12.1,2.0,1.2,0.5,1.7,0.243,0.305,0.380,0.684,0.309,667472
384,Cody Freeman,TEX,R,2B,2B/3B/ OF,52,168,154,18.5,4.2,18.1,2.2,38.0,25.7,7.8,0.3,59.1,24.9,10.1,1.2,1.2,0.6,0.7,0.246,0.295,0.383,0.677,0.267,683227
385,Ben Williamson,TB,R,3B,3B,52,161,146,16.2,1.6,13.6,2.9,37.0,26.9,8.0,0.5,50.8,33.6,11.4,1.7,1.2,0.7,0.8,0.252,0.310,0.348,0.658,0.315,810938
386,Chris Taylor,LAA,R,2B,2B,55,160,142,15.7,3.2,14.1,3.2,29.7,19.8,6.3,0.4,46.4,50.7,13.6,2.1,1.2,0.5,0.8,0.209,0.284,0.326,0.611,0.297,13757
