#,Name,Team,Bats,ESPN,YAHOO,G,PA,AB,R,HR,RBI,SB,H,1B,2B,3B,TB,SO,BB,HBP,SF,SH,CS,AVG,OBP,SLG,OPS,BABIP,RazzID
510,Gabriel Gonzalez,MIN,R,OF,OF,19,61,56,6.9,1.3,6.3,0.6,14.2,9.4,3.3,0.2,21.8,11.3,4.1,0.8,0.4,0.2,0.2,0.256,0.314,0.391,0.705,0.298,694224
511,Junior Perez,ATH,R,OF,OF,19,60,53,6.6,1.5,6.1,1.7,10.8,6.2,2.8,0.2,18.6,19.3,5.7,0.4,0.4,0.2,0.5,0.202,0.281,0.349,0.630,0.281,678577
512,Jesus Rodriguez,SF,R,C,C,19,60,53,6.3,0.8,5.3,1.2,13.4,10.3,2.0,0.3,18.5,10.2,5.3,0.5,0.4,0.2,0.4,0.253,0.323,0.347,0.670,0.296,683679
513,Tre’ Morgan,TB,L,1B,1B,19,60,52,6.4,1.2,5.5,0.9,12.2,8.5,2.2,0.3,18.5,13.1,6.3,0.7,0.4,0.2,0.3,0.234,0.321,0.354,0.676,0.288,691003
514,James Triantos,CHC,R,2B,2B,19,60,56,5.9,0.7,5.3,2.5,13.2,9.8,2.5,0.2,18.4,9.7,3.4,0.6,0.4,0.2,0.7,0.238,0.285,0.329,0.614,0.274,701649
515,Brett Wisely,ATL,L,2B,2B,19,59,53,6.3,1.1,5.5,1.1,11.9,8.2,2.5,0.1,17.9,13.8,4.8,0.5,0.4,0.2,0.3,0.226,0.293,0.341,0.633,0.283,689172
516,Yohandy Morales,WSH,R,3B,3B,19,59,54,5.9,1.2,5.4,0.5,12.0,8.1,2.5,0.2,18.6,17.0,4.3,0.5,0.4,0.2,0.2,0.225,0.285,0.347,0.631,0.303,691002
517,Tim Anderson,FA,R,SS,SS,19,58,54,5.3,0.5,4.7,1.1,13.0,10.2,2.1,0.2,17.0,14.9,2.5,0.5,0.4,0.2,0.3,0.239,0.276,0.311,0.587,0.316,15172
518,Nicky Lopez,COL,L,2B/SS,2B/SS,19,58,51,5.9,0.2,4.5,1.1,13.0,10.5,1.9,0.4,16.3,8.8,4.8,0.6,0.4,0.2,0.3,0.252,0.320,0.318,0.638,0.298,670032
519,Reese McGuire,MIL,L,C,C,19,57,53,5.8,1.4,5.6,0.6,11.8,8.3,1.9,0.2,18.3,13.8,3.6,0.5,0.4,0.2,0.2,0.225,0.278,0.349,0.626,0.275,15674
520,Tristan Gray,MIN,L,SS,2B/SS/ 3B,19,57,52,6.0,1.7,6.0,0.3,11.2,6.7,2.6,0.2,19.2,16.5,3.7,0.5,0.4,0.2,0.1,0.213,0.270,0.366,0.636,0.275,656484
521,Matthew Lugo,LAA,R,OF,OF,19,57,53,5.9,1.6,5.9,1.0,11.6,7.1,2.5,0.3,19.5,17.5,3.0,0.6,0.4,0.2,0.3,0.220,0.266,0.371,0.637,0.295,683090
522,Jace Jung,DET,L,3B,3B,18,56,48,5.8,1.3,5.0,0.4,10.2,7.1,1.7,0.1,16.0,15.2,6.6,0.4,0.4,0.2,0.1,0.212,0.309,0.331,0.641,0.278,690291
523,Edwin Arroyo,CIN,S,SS,SS,18,56,51,5.7,0.7,5.0,0.9,12.5,8.5,3.0,0.2,18.0,11.1,3.5,0.5,0.4,0.2,0.3,0.242,0.294,0.350,0.645,0.293,695490
524,Derek Hill,CHW,R,OF,OF,18,55,51,5.7,1.3,5.5,1.4,11.7,7.7,2.4,0.2,18.5,15.7,3.3,0.6,0.4,0.2,0.4,0.232,0.283,0.367,0.650,0.305,656537
525,Bryan Torres,STL,L,OF,OF,18,55,48,5.8,0.5,4.5,1.6,12.2,9.2,2.4,0.1,16.4,9.9,6.0,0.3,0.4,0.2,0.5,0.257,0.339,0.345,0.684,0.312,663494
526,Akil Baddoo,MIL,L,OF,OF,18,55,49,5.8,1.4,5.2,1.7,10.2,6.6,1.8,0.4,16.9,16.3,5.9,0.3,0.4,0.2,0.5,0.211,0.296,0.348,0.644,0.282,668731
527,T.J. Rumfield,COL,L,1B,1B,18,55,49,6.1,1.3,5.6,0.4,12.1,8.5,2.2,0.1,18.3,11.4,4.5,0.7,0.4,0.2,0.1,0.246,0.315,0.374,0.689,0.294,681198
528,Dominic Keegan,TB,R,C,C,18,55,49,5.4,1.2,4.9,0.2,10.3,6.8,2.2,0.2,16.3,15.9,4.3,0.5,0.4,0.2,0.1,0.208,0.276,0.330,0.606,0.279,681371
529,Endy Rodriguez,PIT,S,1B,C/1B,18,55,50,6.0,1.3,5.6,0.6,11.9,7.7,2.8,0.2,18.8,11.5,4.7,0.5,0.4,0.2,0.2,0.240,0.308,0.379,0.688,0.285,682848
530,Scott Kingery,CHC,R,OF,OF,18,54,50,5.3,1.1,4.9,1.0,10.3,7.1,1.9,0.3,16.0,16.0,3.6,0.3,0.4,0.2,0.2,0.206,0.261,0.321,0.583,0.278,664068
531,Will Brennan,SF,L,OF,OF,17,54,50,5.3,0.8,5.1,0.9,12.8,9.2,2.6,0.2,18.1,7.8,2.9,0.5,0.4,0.2,0.3,0.258,0.302,0.365,0.667,0.289,686823
532,Jimmy Crooks,STL,L,C,C,18,53,48,5.6,1.2,5.1,0.2,11.1,7.4,2.3,0.2,17.2,13.9,3.7,0.5,0.4,0.2,0.1,0.230,0.287,0.359,0.646,0.296,699625
533,Jeimer Candelario,LAA,S,1B/3B,1B/3B,17,52,47,5.1,1.5,5.2,0.4,9.7,5.8,2.3,0.1,16.6,14.7,3.7,0.7,0.4,0.1,0.1,0.206,0.271,0.353,0.624,0.263,13621
534,Kris Bryant,COL,R,DH,DH,17,51,46,5.6,1.4,5.3,0.3,10.7,7.5,1.7,0.2,16.9,13.2,4.0,0.8,0.4,0.1,0.1,0.236,0.305,0.372,0.677,0.299,15429
535,Grant McCray,SF,L,OF,OF,17,51,46,5.1,1.0,4.6,1.4,9.7,6.3,1.9,0.4,15.4,15.4,3.9,0.4,0.4,0.2,0.3,0.210,0.275,0.336,0.611,0.291,687529
536,Esteury Ruiz,MIA,R,OF,OF,17,50,44,5.4,1.0,4.7,3.9,10.6,7.3,2.1,0.3,16.3,11.3,4.1,0.9,0.4,0.2,1.0,0.240,0.314,0.366,0.681,0.297,665923
537,Tirso Ornelas,SD,L,OF,OF,15,46,41,5.1,1.1,4.7,0.5,9.8,6.4,2.3,0.1,15.4,9.9,3.9,0.4,0.3,0.1,0.1,0.236,0.304,0.372,0.677,0.284,672359
538,Nick Sogard,BOS,S,2B,1B/2B/ 3B,15,46,40,4.7,0.5,3.9,0.9,9.6,7.0,2.1,0.1,13.3,10.3,4.8,0.4,0.3,0.2,0.3,0.237,0.321,0.329,0.650,0.304,686765
539,Yanquiel Fernandez,NYY,L,OF,OF,15,46,43,5.3,1.6,5.5,0.2,9.9,6.1,2.2,0.1,16.9,10.4,2.8,0.3,0.3,0.2,0.0,0.233,0.282,0.397,0.679,0.271,692585
540,Andruw Monasterio,BOS,R,SS,2B/SS/ 3B,15,45,40,4.9,0.7,4.1,1.3,9.7,7.0,1.9,0.1,13.7,10.3,4.2,0.5,0.3,0.2,0.4,0.242,0.317,0.344,0.661,0.306,655316
541,Vidal Brujan,NYM,S,2B,SS/3B/ OF,15,45,41,4.8,0.7,4.1,1.2,9.1,6.2,2.1,0.1,13.6,9.4,3.8,0.5,0.3,0.2,0.4,0.224,0.297,0.336,0.632,0.273,660644
542,Jeferson Quero,MIL,R,C,C,15,45,41,4.8,1.1,4.4,0.4,9.2,6.2,1.7,0.1,14.6,8.9,3.5,0.5,0.3,0.2,0.1,0.226,0.292,0.358,0.651,0.260,691620
543,Rafael Flores Jr.,PIT,R,1B,1B,15,45,41,4.9,1.1,4.4,0.3,9.4,6.4,1.8,0.1,14.7,12.4,3.7,0.3,0.3,0.2,0.1,0.232,0.297,0.360,0.658,0.303,804668
544,Brandon Lockridge,MIL,R,OF,OF,15,44,40,4.4,0.5,3.6,2.0,9.2,6.8,1.7,0.2,12.9,11.7,3.6,0.4,0.3,0.2,0.4,0.233,0.301,0.326,0.627,0.314,663604
545,Brendan Rodgers,BOS,R,2B,2B,15,44,40,4.6,0.9,4.3,0.2,9.4,6.6,1.7,0.1,14.2,11.6,3.1,0.4,0.3,0.1,0.1,0.234,0.293,0.353,0.646,0.304,663898
546,Max Schuemann,NYY,R,2B/SS/ 3B,2B/SS/ 3B/OF,15,44,39,4.9,0.7,3.9,1.1,8.3,5.8,1.7,0.2,12.4,10.6,4.5,0.6,0.3,0.2,0.3,0.216,0.305,0.321,0.625,0.278,680474
547,Nate Eaton,BOS,R,OF,3B/OF,15,44,41,4.6,0.9,4.3,1.5,9.4,6.5,1.8,0.1,14.2,11.2,2.7,0.5,0.3,0.2,0.4,0.231,0.284,0.350,0.634,0.294,681987
548,Austin Barnes,NYM,R,C,C,15,43,39,4.4,0.7,3.7,0.6,8.1,6.0,1.3,0.1,11.6,10.6,3.7,0.3,0.3,0.2,0.1,0.207,0.279,0.298,0.577,0.265,605131
549,Max Kepler,FA,L,OF,OF,13,41,37,4.5,1.2,4.6,0.2,8.5,5.5,1.7,0.1,14.2,8.5,3.7,0.4,0.3,0.1,0.1,0.233,0.308,0.388,0.696,0.269,12144
550,Ryan Ward,LAD,L,OF,OF,14,41,37,4.9,1.5,5.0,0.6,8.1,4.7,1.7,0.2,14.7,10.7,3.2,0.2,0.3,0.1,0.2,0.217,0.279,0.395,0.674,0.260,669899
551,A.J. Vukovich,ARI,R,3B,3B,14,41,37,4.5,1.2,4.3,0.3,8.8,6.0,1.4,0.2,14.1,11.7,2.8,0.3,0.3,0.1,0.1,0.237,0.293,0.380,0.673,0.311,691021
552,Tommy Troy,ARI,R,2B,2B,14,41,36,4.3,0.6,3.7,0.8,8.7,6.4,1.6,0.2,12.6,8.3,3.4,0.4,0.3,0.1,0.2,0.241,0.311,0.348,0.659,0.294,694371
553,Alejandro Osuna,TEX,L,OF,OF,14,41,36,4.7,0.9,4.2,1.2,8.9,5.9,1.9,0.1,13.8,8.8,3.9,0.6,0.3,0.1,0.4,0.245,0.326,0.382,0.708,0.297,696030
554,Spencer Jones,NYY,L,OF,OF,14,40,36,4.6,1.5,4.7,1.2,7.7,4.4,1.7,0.1,14.0,15.1,3.0,0.3,0.3,0.1,0.3,0.210,0.274,0.386,0.660,0.307,682987
555,Garrett Stubbs,PHI,L,C,C,14,39,35,3.9,0.7,3.4,0.5,7.4,5.4,1.2,0.1,10.8,9.7,3.2,0.5,0.3,0.2,0.1,0.211,0.283,0.309,0.592,0.269,596117
556,Kameron Misner,KC,L,OF,OF,13,39,34,4.1,0.9,3.6,1.1,7.1,4.5,1.6,0.2,11.5,12.6,4.2,0.3,0.3,0.1,0.3,0.205,0.293,0.335,0.629,0.292,670224
557,Michael Siani,LAD,L,OF,OF,14,39,35,4.0,0.6,3.3,1.4,6.9,4.9,1.3,0.2,10.2,10.8,3.5,0.3,0.3,0.2,0.4,0.198,0.273,0.294,0.567,0.267,672279
558,Jorbit Vivas,NYY,L,2B,2B/3B,14,39,34,4.5,0.6,3.6,0.9,7.6,5.2,1.7,0.1,11.2,6.3,4.1,0.8,0.3,0.2,0.2,0.224,0.317,0.330,0.648,0.256,678391
559,Christian Franklin,WSH,R,OF,OF,14,39,34,4.1,0.7,3.3,0.9,7.5,5.3,1.4,0.2,11.2,10.0,4.3,0.5,0.3,0.1,0.3,0.221,0.313,0.331,0.643,0.291,681047
560,Miles Mastrobuoni,SEA,L,3B,2B/3B/ OF,13,38,34,3.9,0.4,3.2,1.2,7.9,5.4,2.1,0.1,11.3,7.8,3.9,0.2,0.3,0.1,0.3,0.235,0.314,0.335,0.648,0.290,670156
561,Rhylan Thomas,SEA,L,OF,OF,13,38,35,4.0,0.5,3.5,1.1,9.1,6.6,1.9,0.1,12.5,4.0,2.5,0.3,0.3,0.1,0.3,0.258,0.310,0.355,0.665,0.279,689041
562,Ben Rortvedt,NYM,L,C,C,13,37,33,3.8,0.6,3.2,0.2,6.6,4.4,1.5,0.1,10.2,9.7,3.5,0.5,0.3,0.2,0.1,0.202,0.286,0.309,0.595,0.262,666163
563,Jonatan Clase,TOR,S,OF,OF,13,37,33,4.0,0.7,3.6,1.8,7.3,4.6,1.9,0.1,11.6,10.0,3.1,0.3,0.3,0.1,0.5,0.219,0.287,0.347,0.634,0.287,682729
564,Victor Mesa Jr.,TB,L,OF,OF,13,37,33,3.9,0.9,3.7,0.4,7.8,5.2,1.5,0.1,12.3,7.8,2.6,0.3,0.3,0.1,0.1,0.233,0.291,0.369,0.660,0.275,683748
565,Blake Dunn,CIN,R,OF,OF,13,37,33,3.9,0.7,3.3,1.0,7.3,5.0,1.5,0.1,11.1,11.0,3.3,0.8,0.3,0.1,0.2,0.223,0.307,0.339,0.646,0.310,694362
566,Dominic Smith,ATL,L,1B,1B,12,36,33,3.8,0.8,3.8,0.2,7.9,5.5,1.5,0.1,11.9,7.8,2.9,0.4,0.3,0.1,0.1,0.239,0.305,0.365,0.670,0.287,15653
567,Stuart Fairchild,CLE,R,OF,OF,12,35,31,3.6,0.8,3.3,1.1,6.9,4.4,1.6,0.1,11.1,9.3,2.7,0.5,0.3,0.1,0.3,0.221,0.291,0.357,0.648,0.286,656413
568,Sterlin Thompson,COL,L,OF,OF,12,35,31,4.0,0.9,3.7,0.5,7.9,5.4,1.3,0.3,12.4,8.2,2.5,0.6,0.3,0.1,0.2,0.250,0.313,0.395,0.708,0.308,694514
569,Anthony Seigler,BOS,S,C,C,11,32,27,3.5,0.6,2.9,1.0,5.9,3.9,1.3,0.1,9.2,7.3,3.9,0.3,0.2,0.1,0.3,0.217,0.317,0.336,0.653,0.271,678011
570,Curtis Mead,CHW,R,1B/3B,1B/2B/ 3B,11,32,28,3.3,0.7,3.2,0.4,6.8,4.4,1.6,0.1,10.9,6.9,2.1,0.6,0.2,0.1,0.1,0.240,0.302,0.381,0.684,0.290,678554
571,Jhonkensy Noel,BAL,R,OF,1B/OF,11,32,29,3.8,1.5,4.2,0.1,6.6,4.0,1.1,0.1,12.3,8.8,1.9,0.4,0.2,0.1,0.0,0.226,0.278,0.419,0.697,0.266,678877
572,Blaze Jordan,STL,R,3B,3B,11,32,29,3.4,0.8,3.3,0.2,7.1,4.7,1.6,0.1,11.2,4.5,1.9,0.2,0.2,0.1,0.1,0.243,0.291,0.380,0.670,0.262,691458
573,Brock Wilken,MIL,R,3B,3B,11,32,28,3.5,1.0,3.1,0.2,5.4,3.3,1.1,0.1,9.5,10.0,3.8,0.3,0.2,0.1,0.1,0.194,0.295,0.344,0.640,0.260,694385
574,Adam Duvall,FA,R,OF,OF,11,31,28,3.3,1.1,3.5,0.2,5.8,3.5,1.1,0.1,10.5,9.4,2.1,0.4,0.2,0.1,0.1,0.206,0.266,0.371,0.637,0.261,10950
575,Patrick Wisdom,SEA,R,3B,3B,11,31,28,3.6,1.5,3.8,0.3,5.4,2.7,1.1,0.1,11.2,10.9,2.6,0.3,0.2,0.1,0.1,0.192,0.265,0.398,0.664,0.245,13602
576,Joey Gallo,FA,L,OF,OF,11,31,26,3.5,1.3,3.3,0.3,4.7,2.6,0.8,0.1,9.3,11.6,4.0,0.3,0.2,0.1,0.1,0.177,0.289,0.353,0.642,0.248,14128
577,Jason Vosler,FA,L,3B,3B,11,31,28,3.4,0.9,3.3,0.1,6.4,4.1,1.3,0.1,10.6,7.6,2.0,0.3,0.2,0.1,0.0,0.226,0.282,0.375,0.657,0.275,613564
578,Zach Remillard,CHW,R,2B,2B,11,31,27,2.8,0.4,2.4,0.5,5.6,4.0,1.1,0.1,8.1,7.6,2.3,0.3,0.2,0.1,0.2,0.205,0.273,0.295,0.568,0.267,621545
579,Matt Thaiss,BOS,L,C,C,11,31,27,3.3,0.5,2.8,0.3,5.8,4.0,1.2,0.1,8.8,8.1,3.9,0.4,0.2,0.1,0.1,0.219,0.322,0.334,0.656,0.290,642136
580,Cole Tucker,FA,S,2B,2B,11,31,28,2.9,0.3,2.4,0.4,5.6,4.0,1.2,0.1,8.0,8.5,2.7,0.2,0.2,0.1,0.1,0.203,0.275,0.287,0.561,0.276,657061
581,Sandro Fabian,FA,R,OF,OF,11,31,29,3.3,0.8,3.3,0.2,6.7,4.4,1.5,0.1,10.8,5.5,1.5,0.3,0.2,0.1,0.1,0.233,0.276,0.372,0.648,0.260,660758
582,Jared Walsh,FA,L,1B,1B,11,31,28,2.9,0.8,2.9,0.2,5.2,3.3,1.0,0.1,8.9,11.8,2.4,0.3,0.2,0.1,0.1,0.186,0.253,0.316,0.570,0.280,665120
583,Kyle McCann,COL,L,C,C,11,31,28,3.3,0.9,3.2,0.2,5.9,3.9,0.9,0.1,9.9,10.1,2.5,0.3,0.2,0.1,0.1,0.213,0.281,0.355,0.636,0.291,668832
584,Samad Taylor,SD,R,OF,OF,11,31,28,3.3,0.5,2.8,1.3,6.3,4.5,1.2,0.2,9.4,7.8,2.8,0.2,0.2,0.1,0.3,0.228,0.301,0.338,0.638,0.295,669392
585,Tristan Peters,CHW,L,OF,OF,11,31,27,3.1,0.6,2.8,0.5,6.0,4.0,1.3,0.1,9.2,7.0,2.6,0.3,0.2,0.1,0.2,0.219,0.292,0.339,0.631,0.271,671976
586,Will Banfield,CIN,R,C,C,11,31,29,2.9,0.6,2.8,0.1,5.8,3.7,1.4,0.1,9.3,9.0,1.5,0.2,0.2,0.1,0.0,0.202,0.244,0.322,0.566,0.266,677943
587,Bryan Ramos,BAL,R,2B,2B,11,31,28,3.2,0.8,3.1,0.5,5.9,3.9,1.0,0.1,9.5,7.5,2.2,0.4,0.2,0.1,0.2,0.208,0.271,0.340,0.611,0.252,682868
588,Logan Driscoll,TB,L,C,C,11,31,28,3.0,0.6,2.7,0.2,6.0,4.1,1.3,0.1,9.2,8.1,2.1,0.4,0.2,0.1,0.1,0.214,0.274,0.328,0.602,0.277,686482
589,Shay Whitcomb,HOU,R,3B,2B/3B,11,31,28,3.5,1.0,3.4,0.6,6.0,3.8,1.2,0.0,10.4,8.9,2.2,0.3,0.2,0.1,0.2,0.213,0.274,0.367,0.641,0.268,694376
590,Ethan Murray,MIL,R,SS,SS,11,31,28,2.8,0.5,2.4,0.5,5.3,3.7,1.1,0.1,8.0,9.0,2.8,0.3,0.2,0.1,0.1,0.193,0.271,0.290,0.560,0.265,696140
591,Hector Rodriguez,CIN,L,OF,OF,11,31,29,3.4,0.8,3.4,0.5,7.1,4.6,1.5,0.1,11.4,5.5,1.6,0.2,0.2,0.1,0.2,0.247,0.289,0.396,0.686,0.275,699302
592,Hao-Yu Lee,DET,R,3B,3B,11,31,28,3.2,0.6,2.9,0.6,6.1,4.1,1.2,0.2,9.6,7.0,2.5,0.4,0.2,0.1,0.2,0.223,0.294,0.349,0.644,0.274,701678
593,RJ Schreck,TOR,L,OF,OF,11,31,27,3.6,0.8,3.2,0.3,5.7,3.4,1.4,0.1,9.7,7.8,3.5,0.5,0.2,0.1,0.1,0.213,0.311,0.362,0.673,0.265,702302
594,Max Anderson,DET,R,2B,2B,11,31,29,3.2,0.6,3.0,0.2,6.9,4.8,1.4,0.1,10.3,5.2,1.6,0.3,0.2,0.1,0.1,0.243,0.288,0.361,0.648,0.277,801194
595,Leo De Vries,ATH,S,SS,SS,11,31,28,3.5,0.6,3.1,0.4,6.1,3.8,1.4,0.2,9.8,7.5,2.7,0.3,0.2,0.1,0.1,0.220,0.295,0.354,0.649,0.276,815888
596,Kevin Kiermaier,FA,L,OF,OF,11,30,28,3.1,0.6,2.8,0.6,6.1,4.2,1.2,0.2,9.5,8.2,1.8,0.3,0.2,0.1,0.2,0.221,0.273,0.342,0.616,0.289,11038
597,David Dahl,FA,L,OF,OF,11,30,27,3.1,0.7,3.0,0.3,6.1,4.0,1.3,0.1,9.9,7.9,2.1,0.2,0.2,0.1,0.1,0.224,0.280,0.359,0.640,0.283,13744
598,Dom Nunez,CLE,L,C,C,11,30,26,2.7,0.5,2.2,0.2,4.3,2.5,1.1,0.1,7.1,10.3,3.4,0.3,0.2,0.1,0.1,0.165,0.265,0.273,0.539,0.245,15055
599,Eric Haase,SF,R,C,C,11,30,27,3.0,0.8,2.8,0.2,5.6,3.9,0.8,0.1,8.8,9.6,2.0,0.2,0.2,0.1,0.1,0.205,0.262,0.325,0.587,0.281,606992
600,Trey Cabbage,FA,L,OF,OF,11,30,27,3.3,0.9,3.1,0.6,6.0,3.8,1.3,0.1,10.0,10.3,2.1,0.2,0.2,0.1,0.2,0.218,0.278,0.366,0.644,0.312,663550
601,Seby Zavala,LAD,R,C,C,11,30,27,3.1,0.8,2.8,0.3,4.7,2.7,1.2,0.1,8.3,11.1,2.5,0.3,0.2,0.1,0.1,0.177,0.252,0.313,0.565,0.264,664874
602,Enmanuel Valdez,PIT,L,1B/2B,1B/2B/ 3B,11,30,27,3.5,0.9,3.3,0.3,6.2,3.8,1.3,0.2,10.7,6.6,2.8,0.2,0.2,0.1,0.1,0.231,0.305,0.396,0.701,0.270,665839
603,Grae Kessinger,NYM,R,2B,2B,11,30,27,3.0,0.5,2.4,0.4,5.1,3.7,0.9,0.1,7.6,8.0,3.0,0.3,0.2,0.1,0.1,0.192,0.277,0.284,0.561,0.253,666197
604,Taylor Trammell,HOU,L,OF,OF,11,30,26,3.4,1.0,3.2,0.7,5.4,3.3,1.0,0.1,9.5,9.4,3.3,0.3,0.2,0.1,0.2,0.205,0.298,0.363,0.661,0.273,666211
605,Heston Kjerstad,BAL,L,OF,OF,11,30,27,3.4,0.9,3.4,0.2,6.2,3.8,1.3,0.2,10.5,8.0,2.0,0.5,0.2,0.1,0.1,0.228,0.290,0.388,0.678,0.286,677008
606,Justin Dean,CHC,R,OF,OF,11,30,27,2.8,0.3,2.3,1.3,5.4,4.0,0.9,0.2,7.7,9.4,2.7,0.3,0.2,0.1,0.4,0.203,0.281,0.286,0.567,0.294,681909
607,Kevin Alcantara,CHC,R,OF,OF,11,30,27,3.2,0.7,3.0,0.5,6.1,4.1,1.2,0.0,9.7,9.0,2.3,0.2,0.2,0.1,0.1,0.225,0.286,0.354,0.640,0.304,682634
608,Elijah Dunham,LAA,L,OF,OF,11,30,27,3.0,0.7,2.8,0.7,5.3,3.4,1.1,0.1,8.9,9.4,2.7,0.3,0.2,0.1,0.2,0.197,0.274,0.328,0.602,0.270,685313
609,Billy Cook,PIT,R,OF,OF,11,30,27,3.1,0.7,2.9,0.7,5.9,4.0,1.2,0.1,9.3,8.5,2.1,0.3,0.2,0.1,0.2,0.217,0.278,0.341,0.618,0.284,695257
610,Kahlil Watson,CLE,L,SS,SS,11,30,27,3.1,0.8,3.0,0.7,5.5,3.3,1.3,0.1,9.6,9.2,2.4,0.3,0.2,0.1,0.2,0.205,0.275,0.356,0.631,0.276,696135
611,Trey Mancini,LAA,R,DH,DH,11,29,27,3.1,0.8,3.0,0.2,6.0,4.0,1.1,0.1,9.8,7.8,2.0,0.3,0.2,0.1,0.1,0.226,0.285,0.368,0.653,0.285,15149
612,Dairon Blanco,KC,R,OF,OF,11,29,26,3.1,0.6,2.8,2.5,6.3,4.5,1.2,0.1,9.3,7.0,1.9,0.4,0.2,0.1,0.6,0.238,0.297,0.353,0.650,0.300,680118
613,Tyler Callihan,CIN,L,2B,2B,11,29,26,3.0,0.6,2.7,0.8,5.8,3.8,1.3,0.1,9.1,8.1,2.2,0.2,0.2,0.1,0.2,0.221,0.284,0.347,0.631,0.294,682997
614,Matt Mervis,WSH,L,1B,1B,10,28,25,2.9,1.0,3.0,0.2,5.0,2.9,1.1,0.1,9.2,8.4,2.2,0.3,0.2,0.1,0.1,0.204,0.274,0.371,0.644,0.263,670223
615,Mickey Gasper,BOS,S,C,C,10,28,24,3.2,0.6,2.8,0.3,5.8,3.9,1.2,0.1,8.9,5.5,2.9,0.4,0.2,0.1,0.1,0.237,0.325,0.366,0.691,0.279,681508
616,Maximo Acosta,MIA,R,3B,2B/SS/ 3B,10,28,25,2.8,0.6,2.6,1.0,5.6,3.9,1.0,0.1,8.6,6.9,2.0,0.2,0.2,0.1,0.3,0.223,0.284,0.341,0.625,0.281,691185
617,Jared Serna,MIA,R,2B,2B,10,28,25,2.6,0.3,2.2,0.6,5.5,4.0,1.1,0.1,7.8,5.1,2.1,0.3,0.2,0.1,0.2,0.218,0.283,0.308,0.591,0.258,691858
618,Kemp Alderman,MIA,R,OF,OF,10,28,26,2.9,0.7,2.8,0.6,6.0,4.0,1.1,0.1,9.5,7.0,1.6,0.2,0.2,0.1,0.2,0.232,0.280,0.370,0.651,0.289,694580
619,Rodolfo Duran,SD,R,C,C,10,27,25,2.8,0.7,2.8,0.2,5.5,3.5,1.2,0.1,8.9,6.3,1.5,0.2,0.2,0.1,0.0,0.219,0.266,0.357,0.623,0.263,660710
620,Trei Cruz,DET,S,SS,SS,10,27,23,2.7,0.4,2.2,0.4,4.8,3.4,0.9,0.1,7.1,7.1,3.2,0.2,0.2,0.1,0.1,0.208,0.305,0.307,0.612,0.277,669360
621,Jordan Diaz,ATH,R,3B,3B,10,27,25,3.1,0.8,3.1,0.1,6.0,3.9,1.3,0.1,9.8,5.7,1.6,0.2,0.2,0.1,0.0,0.242,0.291,0.392,0.683,0.282,672478
622,Kristian Robinson,ARI,R,OF,OF,10,27,24,2.9,0.6,2.5,0.7,5.0,3.4,0.8,0.1,7.9,9.1,2.8,0.2,0.2,0.1,0.2,0.209,0.296,0.331,0.627,0.304,677565
623,Brandon Valenzuela,TOR,S,C,C,10,27,24,2.7,0.5,2.4,0.2,4.8,3.1,1.1,0.0,7.6,7.3,2.2,0.2,0.2,0.1,0.1,0.197,0.266,0.310,0.577,0.256,678218
624,Justin Foscue,TEX,R,2B,2B,10,27,24,3.1,0.7,2.8,0.3,5.2,3.2,1.2,0.0,8.8,5.4,2.5,0.3,0.2,0.1,0.1,0.219,0.300,0.369,0.669,0.250,679822
625,Eduardo Valencia,DET,R,C,C,10,27,24,2.9,0.8,2.8,0.1,5.5,3.7,1.0,0.1,9.0,6.2,1.9,0.2,0.2,0.1,0.0,0.228,0.287,0.369,0.657,0.272,680664
626,Gabriel Rincones Jr.,PHI,L,OF,OF,10,27,24,3.0,0.8,2.7,0.7,5.0,3.2,1.0,0.1,8.4,7.4,2.8,0.3,0.2,0.1,0.2,0.211,0.299,0.353,0.652,0.270,687282
627,Matt Koperniak,STL,L,OF,OF,10,27,25,2.7,0.5,2.5,0.3,5.6,4.0,1.0,0.1,8.3,5.7,1.9,0.2,0.2,0.1,0.1,0.230,0.285,0.339,0.625,0.276,689288
628,Niko Kavadas,LAA,L,DH,1B,10,27,23,3.0,1.0,2.8,0.1,4.4,2.6,0.8,0.1,8.2,10.3,3.2,0.4,0.2,0.1,0.0,0.187,0.291,0.350,0.641,0.278,694359
629,Ben Cowles,TOR,R,SS,SS,10,27,25,2.6,0.4,2.3,0.6,5.2,3.5,1.2,0.1,7.8,7.9,1.7,0.3,0.2,0.1,0.2,0.208,0.266,0.313,0.579,0.287,701496
630,Collin Price,HOU,R,C,C,10,27,24,2.7,0.7,2.5,0.2,4.6,2.9,0.9,0.1,7.7,8.8,2.2,0.3,0.2,0.1,0.1,0.190,0.262,0.318,0.579,0.263,805672
631,Dominic Fletcher,PIT,L,OF,OF,10,26,24,2.7,0.5,2.5,0.3,5.6,3.7,1.3,0.1,8.5,5.6,1.6,0.3,0.2,0.1,0.1,0.234,0.288,0.356,0.644,0.283,666150
632,Davis Wendzel,PIT,R,SS,SS,10,26,23,2.6,0.6,2.3,0.1,4.7,3.2,0.9,0.0,7.4,6.0,2.1,0.4,0.2,0.1,0.0,0.203,0.278,0.317,0.594,0.246,673995
